Maturity (Years),Monthly Spot Rate (%)
0.08333333333333333,4.38
0.16666666666666669,4.3529
0.25,4.33
0.3333333333333333,4.3086
0.4166666666666667,4.2861
0.5000000000000001,4.26
0.5833333333333334,4.2283
0.6666666666666667,4.1922
0.7500000000000001,4.1534
0.8333333333333335,4.1139
0.9166666666666669,4.0755
1.0,4.04
1.0833333333333333,4.0089
1.1666666666666667,3.9823
1.25,3.9597
1.3333333333333335,3.9409
1.4166666666666667,3.9255
1.5,3.9131
1.5833333333333335,3.9035
1.6666666666666667,3.8963
1.7500000000000002,3.8911
1.8333333333333335,3.8876
1.9166666666666667,3.8855
2.0000000000000004,3.8845
2.0833333333333335,3.8841
2.166666666666667,3.8844
2.2500000000000004,3.8852
2.333333333333334,3.8865
2.416666666666667,3.8883
2.5000000000000004,3.8904
2.583333333333334,3.8929
2.666666666666667,3.8955
2.7500000000000004,3.8984
2.833333333333334,3.9013
2.916666666666667,3.9043
3.0000000000000004,3.9073
3.083333333333334,3.9102
3.166666666666667,3.9131
3.2500000000000004,3.9159
3.333333333333334,3.9187
3.4166666666666674,3.9214
3.5000000000000004,3.9241
3.583333333333334,3.9268
3.6666666666666674,3.9296
3.7500000000000004,3.9323
3.833333333333334,3.9351
3.9166666666666674,3.938
4.0,3.9409
4.083333333333333,3.9438
4.166666666666667,3.9469
4.25,3.95
4.333333333333334,3.9533
4.416666666666667,3.9567
4.5,3.9602
4.583333333333334,3.9639
4.666666666666667,3.9678
4.75,3.9718
4.833333333333334,3.976
4.916666666666667,3.9804
5.0,3.985
5.083333333333334,3.9898
5.166666666666667,3.9949
5.25,4.0001
5.333333333333334,4.0056
5.416666666666667,4.0112
5.5,4.0169
5.583333333333334,4.0229
5.666666666666667,4.0289
5.75,4.0351
5.833333333333334,4.0413
5.916666666666667,4.0477
6.0,4.0541
6.083333333333334,4.0606
6.166666666666667,4.0672
6.25,4.0738
6.333333333333334,4.0804
6.416666666666667,4.087
6.5,4.0936
6.583333333333334,4.1003
6.666666666666667,4.1068
6.750000000000001,4.1134
6.833333333333334,4.1199
6.916666666666667,4.1263
7.000000000000001,4.1326
7.083333333333334,4.1389
7.166666666666667,4.145
7.250000000000001,4.1511
7.333333333333334,4.1571
7.416666666666667,4.163
7.500000000000001,4.1688
7.583333333333334,4.1746
7.666666666666667,4.1802
7.750000000000001,4.1859
7.833333333333334,4.1914
7.916666666666667,4.1969
8.000000000000002,4.2023
8.083333333333334,4.2077
8.166666666666668,4.213
8.250000000000002,4.2183
8.333333333333336,4.2235
8.416666666666668,4.2287
8.500000000000002,4.2338
8.583333333333336,4.2389
8.666666666666668,4.244
8.750000000000002,4.2491
8.833333333333336,4.2541
8.916666666666668,4.2591
9.000000000000002,4.2641
9.083333333333336,4.2691
9.166666666666668,4.274
9.250000000000002,4.279
9.333333333333336,4.2839
9.416666666666668,4.2889
9.500000000000002,4.2938
9.583333333333336,4.2988
9.666666666666668,4.3037
9.750000000000002,4.3087
9.833333333333336,4.3137
9.916666666666668,4.3187
10.000000000000002,4.3237
10.083333333333336,4.3287
10.166666666666668,4.3338
