Date,"5 YR","7 YR","10 YR","20 YR"
12/29/2006,2.44,2.45,2.41,2.40
12/28/2006,2.46,2.45,2.41,2.40
12/27/2006,2.44,2.43,2.39,2.39
12/26/2006,2.37,2.37,2.34,2.34
12/22/2006,2.38,2.38,2.35,2.37
12/21/2006,2.33,2.33,2.29,2.31
12/20/2006,2.35,2.35,2.32,2.33
12/19/2006,2.34,2.34,2.31,2.32
12/18/2006,2.35,2.35,2.31,2.31
12/15/2006,2.32,2.31,2.29,2.28
12/14/2006,2.26,2.26,2.23,2.24
12/13/2006,2.26,2.26,2.22,2.23
12/12/2006,2.18,2.17,2.15,2.16
12/11/2006,2.21,2.20,2.17,2.18
12/08/2006,2.25,2.24,2.21,2.22
12/07/2006,2.18,2.18,2.15,2.17
12/06/2006,2.17,2.17,2.14,2.15
12/05/2006,2.12,2.14,2.11,2.12
12/04/2006,2.13,2.14,2.11,2.10
12/01/2006,2.12,2.13,2.10,2.09
11/30/2006,2.21,2.19,2.16,2.13
11/29/2006,2.28,2.26,2.22,2.19
11/28/2006,2.28,2.26,2.21,2.17
11/27/2006,2.33,2.29,2.24,2.19
11/24/2006,2.38,2.33,2.27,2.21
11/22/2006,2.42,2.35,2.30,2.24
11/21/2006,2.43,2.37,2.31,2.24
11/20/2006,2.47,2.39,2.33,2.25
11/17/2006,2.48,2.39,2.33,2.25
11/16/2006,2.53,2.44,2.38,2.28
11/15/2006,2.45,2.37,2.30,2.22
11/14/2006,2.41,2.34,2.28,2.19
11/13/2006,2.42,2.35,2.29,2.22
11/10/2006,2.37,2.31,2.25,2.19
11/09/2006,2.41,2.34,2.28,2.23
11/08/2006,2.41,2.34,2.29,2.22
11/07/2006,2.44,2.37,2.32,2.26
11/06/2006,2.48,2.41,2.36,2.29
11/03/2006,2.52,2.45,2.40,2.34
11/02/2006,2.44,2.38,2.32,2.28
11/01/2006,2.41,2.34,2.29,2.24
10/31/2006,2.47,2.40,2.34,2.28
10/30/2006,2.51,2.44,2.39,2.34
10/27/2006,2.48,2.42,2.37,2.33
10/26/2006,2.52,2.46,2.41,2.36
10/25/2006,2.55,2.49,2.44,2.41
10/24/2006,2.63,2.56,2.52,2.49
10/23/2006,2.65,2.57,2.53,2.50
10/20/2006,2.61,2.54,2.49,2.46
10/19/2006,2.61,2.54,2.49,2.46
10/18/2006,2.58,2.50,2.46,2.43
10/17/2006,2.56,2.49,2.46,2.43
10/16/2006,2.56,2.48,2.45,2.43
10/13/2006,2.57,2.50,2.47,2.44
10/12/2006,2.54,2.48,2.44,2.42
10/11/2006,2.54,2.49,2.45,2.41
10/10/2006,2.51,2.46,2.42,2.37
10/06/2006,2.46,2.40,2.37,2.32
10/05/2006,2.38,2.33,2.31,2.27
10/04/2006,2.33,2.28,2.27,2.24
10/03/2006,2.35,2.30,2.29,2.28
10/02/2006,2.31,2.28,2.27,2.26
09/29/2006,2.34,2.30,2.27,2.27
09/28/2006,2.33,2.30,2.27,2.26
09/27/2006,2.32,2.29,2.26,2.25
09/26/2006,2.32,2.29,2.25,2.24
09/25/2006,2.32,2.27,2.24,2.22
09/22/2006,2.35,2.30,2.27,2.25
09/21/2006,2.40,2.35,2.31,2.30
09/20/2006,2.48,2.43,2.39,2.35
09/19/2006,2.42,2.38,2.35,2.33
09/18/2006,2.46,2.43,2.39,2.37
09/15/2006,2.45,2.42,2.38,2.36
09/14/2006,2.39,2.38,2.35,2.32
09/13/2006,2.39,2.38,2.35,2.33
09/12/2006,2.41,2.40,2.36,2.34
09/11/2006,2.43,2.42,2.38,2.37
09/08/2006,2.39,2.37,2.35,2.34
09/07/2006,2.38,2.36,2.34,2.33
09/06/2006,2.34,2.34,2.32,2.32
09/05/2006,2.34,2.33,2.31,2.31
09/01/2006,2.28,2.27,2.25,2.24
08/31/2006,2.26,2.26,2.24,2.23
08/30/2006,2.31,2.30,2.28,2.26
08/29/2006,2.30,2.31,2.29,2.28
08/28/2006,2.31,2.30,2.28,2.28
08/25/2006,2.26,2.26,2.24,2.25
08/24/2006,2.29,2.29,2.28,2.27
08/23/2006,2.25,2.26,2.25,2.26
08/22/2006,2.21,2.22,2.22,2.24
08/21/2006,2.22,2.23,2.23,2.27
08/18/2006,2.23,2.25,2.26,2.30
08/17/2006,2.27,2.28,2.28,2.32
08/16/2006,2.25,2.26,2.28,2.32
08/15/2006,2.27,2.30,2.32,2.35
08/14/2006,2.31,2.34,2.36,2.39
08/11/2006,2.27,2.30,2.33,2.36
08/10/2006,2.24,2.28,2.30,2.34
08/09/2006,2.21,2.25,2.28,2.31
08/08/2006,2.23,2.26,2.27,2.30
08/07/2006,2.25,2.27,2.29,2.31
08/04/2006,2.25,2.28,2.30,2.33
08/03/2006,2.31,2.34,2.35,2.38
08/02/2006,2.30,2.34,2.36,2.39
08/01/2006,2.35,2.38,2.40,2.42
07/31/2006,2.37,2.40,2.41,2.42
07/28/2006,2.38,2.40,2.41,2.42
07/27/2006,2.41,2.45,2.47,2.45
07/26/2006,2.41,2.43,2.44,2.45
07/25/2006,2.45,2.46,2.48,2.49
07/24/2006,2.44,2.47,2.49,2.51
07/21/2006,2.42,2.45,2.49,2.50
07/20/2006,2.40,2.43,2.45,2.47
07/19/2006,2.45,2.46,2.49,2.50
07/18/2006,2.52,2.53,2.55,2.56
07/17/2006,2.45,2.47,2.49,2.50
07/14/2006,2.44,2.46,2.50,2.51
07/13/2006,2.46,2.48,2.51,2.52
07/12/2006,2.49,2.52,2.54,2.55
07/11/2006,2.48,2.50,2.53,2.55
07/10/2006,2.49,2.52,2.56,2.56
07/07/2006,2.47,2.50,2.55,2.56
07/06/2006,2.52,2.55,2.59,2.61
07/05/2006,2.57,2.58,2.63,2.64
07/03/2006,2.49,2.51,2.56,2.58
06/30/2006,2.47,2.49,2.54,2.56
06/29/2006,2.57,2.57,2.61,2.64
06/28/2006,2.64,2.64,2.68,2.68
06/27/2006,2.58,2.59,2.63,2.63
06/26/2006,2.61,2.63,2.67,2.66
06/23/2006,2.58,2.60,2.64,2.63
06/22/2006,2.56,2.56,2.61,2.60
06/21/2006,2.53,2.55,2.59,2.58
06/20/2006,2.52,2.54,2.58,2.57
06/19/2006,2.51,2.53,2.58,2.56
06/16/2006,2.47,2.50,2.54,2.54
06/15/2006,2.44,2.47,2.52,2.52
06/14/2006,2.42,2.44,2.50,2.50
06/13/2006,2.37,2.38,2.44,2.45
06/12/2006,2.37,2.39,2.45,2.46
06/09/2006,2.35,2.38,2.45,2.46
06/08/2006,2.37,2.40,2.47,2.49
06/07/2006,2.38,2.42,2.48,2.51
06/06/2006,2.33,2.37,2.44,2.47
06/05/2006,2.29,2.32,2.40,2.42
06/02/2006,2.24,2.30,2.37,2.41
06/01/2006,2.34,2.39,2.46,2.49
05/31/2006,2.36,2.40,2.48,2.50
05/30/2006,2.32,2.37,2.45,2.49
05/26/2006,2.30,2.36,2.44,2.47
05/25/2006,2.33,2.38,2.46,2.48
05/24/2006,2.29,2.34,2.42,2.44
05/23/2006,2.30,2.36,2.44,2.46
05/22/2006,2.31,2.35,2.43,2.45
05/19/2006,2.31,2.34,2.43,2.44
05/18/2006,2.27,2.32,2.41,2.45
05/17/2006,2.32,2.38,2.47,2.52
05/16/2006,2.30,2.35,2.44,2.47
05/15/2006,2.33,2.39,2.47,2.51
05/12/2006,2.30,2.37,2.47,2.51
05/11/2006,2.26,2.33,2.43,2.47
05/10/2006,2.30,2.34,2.43,2.46
05/09/2006,2.29,2.35,2.43,2.48
05/08/2006,2.32,2.36,2.45,2.49
05/05/2006,2.29,2.35,2.45,2.51
05/04/2006,2.34,2.40,2.49,2.54
05/03/2006,2.30,2.37,2.47,2.52
05/02/2006,2.27,2.34,2.43,2.49
05/01/2006,2.27,2.33,2.42,2.48
04/28/2006,2.25,2.29,2.39,2.44
04/27/2006,2.33,2.36,2.45,2.50
04/26/2006,2.39,2.43,2.51,2.54
04/25/2006,2.38,2.39,2.47,2.51
04/24/2006,2.21,2.31,2.39,2.43
04/21/2006,2.19,2.30,2.39,2.43
04/20/2006,2.20,2.32,2.42,2.46
04/19/2006,2.16,2.29,2.38,2.44
04/18/2006,2.18,2.30,2.38,2.42
04/17/2006,2.25,2.35,2.43,2.45
04/13/2006,2.31,2.41,2.48,2.50
04/12/2006,2.25,2.34,2.41,2.44
04/11/2006,2.23,2.31,2.37,2.39
04/10/2006,2.29,2.35,2.41,2.42
04/07/2006,2.31,2.37,2.43,2.43
04/06/2006,2.25,2.32,2.38,2.37
04/05/2006,2.23,2.29,2.34,2.33
04/04/2006,2.27,2.33,2.38,2.36
04/03/2006,2.26,2.32,2.36,2.34
03/31/2006,2.24,2.30,2.35,2.33
03/30/2006,2.25,2.31,2.35,2.34
03/29/2006,2.24,2.27,2.32,2.31
03/28/2006,2.22,2.25,2.30,2.28
03/27/2006,2.14,2.18,2.23,2.21
03/24/2006,2.11,2.15,2.20,2.16
03/23/2006,2.15,2.19,2.24,2.21
03/22/2006,2.13,2.17,2.23,2.20
03/21/2006,2.11,2.17,2.23,2.21
03/20/2006,2.01,2.09,2.15,2.15
03/17/2006,2.00,2.09,2.16,2.16
03/16/2006,1.98,2.05,2.12,2.13
03/15/2006,2.07,2.13,2.18,2.17
03/14/2006,2.07,2.13,2.17,2.15
03/13/2006,2.17,2.20,2.24,2.20
03/10/2006,2.15,2.19,2.23,2.17
03/09/2006,2.09,2.15,2.20,2.15
03/08/2006,2.09,2.16,2.20,2.15
03/07/2006,2.05,2.11,2.16,2.11
03/06/2006,2.03,2.09,2.14,2.11
03/03/2006,1.95,2.02,2.07,2.04
03/02/2006,1.94,2.00,2.05,2.03
03/01/2006,1.92,1.98,2.02,2.00
02/28/2006,1.93,1.99,2.02,1.98
02/27/2006,1.96,2.01,2.04,2.01
02/24/2006,1.94,1.98,2.02,1.98
02/23/2006,1.97,2.00,2.03,2.00
02/22/2006,1.93,1.98,2.01,1.98
02/21/2006,1.97,2.01,2.04,2.01
02/17/2006,1.95,2.00,2.03,1.99
02/16/2006,2.03,2.08,2.10,2.04
02/15/2006,2.08,2.11,2.13,2.07
02/14/2006,2.09,2.12,2.14,2.08
02/13/2006,2.03,2.06,2.08,2.02
02/10/2006,2.02,2.05,2.09,2.02
02/09/2006,2.00,2.02,2.05,1.99
02/08/2006,2.01,2.04,2.07,2.02
02/07/2006,1.95,2.00,2.02,1.99
02/06/2006,1.93,1.97,2.00,1.95
02/03/2006,1.93,1.97,2.00,1.96
02/02/2006,1.96,2.01,2.04,2.02
02/01/2006,1.94,1.98,2.02,2.03
01/31/2006,1.89,1.95,2.00,2.02
01/30/2006,1.92,1.99,2.03,2.07
01/27/2006,1.93,1.98,2.02,2.05
01/26/2006,1.97,2.02,2.01,2.08
01/25/2006,1.98,2.02,2.03,2.10
01/24/2006,1.87,1.92,1.97,1.99
01/23/2006,1.84,1.88,1.94,2.00
01/20/2006,1.84,1.88,1.94,1.99
01/19/2006,1.90,1.93,1.97,2.04
01/18/2006,1.88,1.91,1.97,2.02
01/17/2006,1.87,1.89,1.95,2.01
01/13/2006,1.90,1.93,1.97,2.03
01/12/2006,1.94,1.99,2.01,2.06
01/11/2006,2.00,2.03,2.07,2.11
01/10/2006,1.98,2.03,2.06,2.10
01/09/2006,1.97,2.03,2.05,2.09
01/06/2006,1.99,2.04,2.05,2.07
01/05/2006,2.01,2.04,2.04,2.06
01/04/2006,1.97,2.01,2.01,2.02
01/03/2006,2.00,2.03,2.03,2.06
