Date,"5 YR","7 YR","10 YR"
12/31/2003,1.22,1.62,2.00
12/30/2003,1.23,1.65,2.01
12/29/2003,1.21,1.63,1.99
12/26/2003,1.16,1.57,1.94
12/24/2003,1.19,1.60,1.96
12/23/2003,1.26,1.67,2.03
12/22/2003,1.21,1.63,1.98
12/19/2003,1.18,1.60,1.95
12/18/2003,1.20,1.60,1.94
12/17/2003,1.18,1.60,1.96
12/16/2003,1.19,1.63,1.99
12/15/2003,1.18,1.62,1.98
12/12/2003,1.13,1.57,1.91
12/11/2003,1.10,1.55,1.90
12/10/2003,1.19,1.65,1.97
12/09/2003,1.24,1.67,2.00
12/08/2003,1.22,1.63,1.96
12/05/2003,1.20,1.59,1.92
12/04/2003,1.35,1.72,2.04
12/03/2003,1.40,1.77,2.08
12/02/2003,1.38,1.75,2.05
12/01/2003,1.42,1.77,2.08
11/28/2003,1.36,1.73,2.03
11/26/2003,1.26,1.65,1.96
11/25/2003,1.21,1.60,1.92
11/24/2003,1.26,1.65,1.99
11/21/2003,1.23,1.61,1.93
11/20/2003,1.23,1.58,1.92
11/19/2003,1.22,1.58,1.91
11/18/2003,1.14,1.50,1.83
11/17/2003,1.12,1.49,1.82
11/14/2003,1.17,1.53,1.87
11/13/2003,1.24,1.61,1.94
11/12/2003,1.36,1.73,2.04
11/10/2003,1.40,1.77,2.09
11/07/2003,1.42,1.78,2.10
11/06/2003,1.41,1.76,2.08
11/05/2003,1.34,1.70,2.02
11/04/2003,1.22,1.60,1.93
11/03/2003,1.27,1.64,1.97
10/31/2003,1.21,1.59,1.93
10/30/2003,1.24,1.64,1.97
10/29/2003,1.17,1.59,1.98
10/28/2003,1.11,1.53,1.91
10/27/2003,1.19,1.59,1.96
10/24/2003,1.14,1.56,1.92
10/23/2003,1.23,1.67,2.03
10/22/2003,1.24,1.68,2.07
10/21/2003,1.27,1.74,2.12
10/20/2003,1.27,1.74,2.13
10/17/2003,1.26,1.75,2.14
10/16/2003,1.32,1.84,2.21
10/15/2003,1.28,1.80,2.20
10/14/2003,1.23,1.74,2.18
10/10/2003,1.18,1.69,2.14
10/09/2003,1.25,1.77,2.20
10/08/2003,1.25,1.77,2.18
10/07/2003,1.24,1.75,2.17
10/06/2003,1.19,1.69,2.11
10/03/2003,1.23,1.73,2.16
10/02/2003,1.07,1.60,2.01
